protocol_version,packet_length,seq_number,data_type,data_type_str,data_length,msg_type,msg_type_str,cfg2,b64_msg_buffer,msg_value
135,15,819,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,819,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,820,2,FLOAT,4,2,READ_WEIGHT,00000000,IF+EQQ==,16.54644775390625
135,15,820,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,820,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,821,2,FLOAT,4,2,READ_WEIGHT,00000000,9TiEQQ==,16.52781105041504
135,15,821,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,821,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,822,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,822,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,823,2,FLOAT,4,2,READ_WEIGHT,00000000,2WuEQQ==,16.55265998840332
135,15,823,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,823,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,824,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,824,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,825,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,825,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,826,2,FLOAT,4,2,READ_WEIGHT,00000000,b5OEQQ==,16.571989059448242
135,15,826,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,826,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,827,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,827,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,828,2,FLOAT,4,2,READ_WEIGHT,00000000,VXSEQQ==,16.55680274963379
135,15,828,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,828,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,829,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,829,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,830,2,FLOAT,4,2,READ_WEIGHT,00000000,BmmEQQ==,16.551280975341797
135,15,830,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,830,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,831,2,FLOAT,4,2,READ_WEIGHT,00000000,63KEQQ==,16.55611228942871
135,15,831,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,831,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,832,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,832,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
135,15,833,2,FLOAT,4,2,READ_WEIGHT,00000000,MmaEQQ==,16.54990005493164
135,15,833,2,FLOAT,4,3,READ_TEMPERATURE,00000000,zcz0QQ==,30.600000381469727
135,15,833,2,FLOAT,4,4,READ_PRESSURE,00000000,AAC1Qg==,90.5
